MAG_ENA_CAMZOL010000080_CAMZOL010000080.1|ENA|CAMZOL010000080|CAMZOL010000080.1|18S|858-1731	1.000	CP011052.4299619.4301139	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. KO116
MAG_ENA_CAMZOL010000080_CAMZOL010000080.1|ENA|CAMZOL010000080|CAMZOL010000080.1|16S|210-1738	1.000	CP011052.4299619.4301139	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. KO116
MAG_ENA_CAMZOL010000080_CAMZOL010000080.1|ENA|CAMZOL010000080|CAMZOL010000080.1|16S|251-1737	1.000	CP011052.4299619.4301139	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. KO116
MAG_ENA_CAXXDF010000001_CAXXDF010000001.1|ENA|CAXXDF010000001|CAXXDF010000001.1|18S|3582-4456	1.000	HE818335.1.1409	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae;Endozoicomonas;Endozoicomonas sp. Ez289
MAG_ENA_CAXXDF010000012_CAXXDF010000012.1|ENA|CAXXDF010000012|CAXXDF010000012.1|16S|6253-7163	1.000	KM217467.1.1821	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Thecostraca;Sessilia;Neoacasta laevigata
MAG_ENA_CAXXDF010000012_CAXXDF010000012.1|ENA|CAXXDF010000012|CAXXDF010000012.1|16S|17300-18210	1.000	KM217467.1.1821	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Thecostraca;Sessilia;Neoacasta laevigata
MAG_ENA_CAXXDF010000012_CAXXDF010000012.1|ENA|CAXXDF010000012|CAXXDF010000012.1|16S|6223-7162	1.000	KM217467.1.1821	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Thecostraca;Sessilia;Neoacasta laevigata
MAG_ENA_CAXXDF010000012_CAXXDF010000012.1|ENA|CAXXDF010000012|CAXXDF010000012.1|16S|17270-18209	1.000	KM217467.1.1821	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Thecostraca;Sessilia;Neoacasta laevigata
MAG_ENA_CBDHER010000010_CBDHER010000010.1|ENA|CBDHER010000010|CBDHER010000010.1|18S|33709-34584	1.000	JN092610.1.1419	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter guillouiae
MAG_ENA_CBDHER010000016_CBDHER010000016.1|ENA|CBDHER010000016|CBDHER010000016.1|18S|20128-21003	1.000	JN092610.1.1419	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter guillouiae
